id,domain,priority,source,status,files,symbols,views,test,command,runtimeEvidence,bundleEvidence,visualEvidence,limitation,userImpact,risk,neededFix,recommendedVersion
SAFE-001,SAFE,MUST,SAFETY_MODEL.md:4,COMPLIANT_VERIFIED,"['Sources/ScanCore/ScanCore.swift', 'Sources/SafetyCore/SafetyCore.swift']","['ScanEngine.stream', 'SafetyCenter.execute(_:)']",[],"Tests — no dedicated 'scan never deletes' unit test found; verified by code inspection (ScanEngine has no FileManager.trashItem/removeItem call; only SafetyCenter.execute performs trashItem, and it is never invoked from scan code paths).","grep -rn ""trashItem\|removeItem"" Sources/ScanCore Sources/SafetyCore","n/a (headless, static verification)",n/a,n/a,No automated regression test enforces this architecturally (e.g. no lint rule banning trashItem outside SafetyCore); relies on code review discipline.,none currently — held,low,add an architectural test asserting Sources/ScanCore contains no delete API calls,"0.7.x (test-only addition, no behavior change)"
SAFE-002,SAFE,MUST,"SAFETYCORE.md:25,35",COMPLIANT_VERIFIED,['Sources/SafetyCore/SafetyCore.swift'],"['SafetyCenter.execute(_ operations: [ApprovedFileOperation])', 'ApprovedFileOperation', 'SafetyCenter.approve(url:logicalSize:ruleID:risk:)']",[],none dedicated; verified by direct code read this session (previously flagged in baseline as 'not independently re-verified' — now re-verified).,read Sources/SafetyCore/SafetyCore.swift:94-165,n/a,n/a,n/a,none found,none,low,none,n/a
SAFE-003,SAFE,MUST,SAFETYCORE.md:16,COMPLIANT_VERIFIED,['Sources/SafetyCore/SafetyCore.swift'],['PathValidator.validate(_:)'],[],no dedicated unit test found exercising exactly the bare-home-directory rejection path; verified by direct code read (line: 'guard standardized.path != home.path else { throw .protectedRoot(home.path) }').,read Sources/SafetyCore/SafetyCore.swift:56-81,n/a,n/a,n/a,no automated test for this exact guard,none currently,low,add unit test asserting PathValidator.validate(home) throws .protectedRoot,0.7.x
SAFE-004,SAFE,MUST,SAFETY_MODEL.md:18,COMPLIANT_VERIFIED,"['Sources/ScanCore/ScanCore.swift', 'Tests/ScanCoreTests']","['ScanConfiguration', 'ScanEngine']",[],"'Scan root isolation' suite / downloadsOnlyScanNeverTouchesSiblingDirectories — read the test body this session, confirms a scan scoped to Downloads never reports findings from Documents/Desktop/Pictures/Music/Movies siblings. PASSED in this session's bash Scripts/test.sh run.","bash Scripts/test.sh (2026-07-20, 86/86 passed)","n/a (unit test, not full app runtime)",n/a,n/a,"covers scan-scope only, not a UI-level guarantee that these roots can never be manually added as a scan root by the user via file picker",none currently,low,confirm UI folder-picker also can't target these roots (session 3 functional pass),n/a
SAFE-005,SAFE,MUST,DECISIONS.md:13-15 (D3),COMPLIANT_VERIFIED,['Sources/SafetyCore/SafetyCore.swift'],['SafetyCenter.init(validator:dryRun: Bool = true)'],"['CleanupView.swift', 'DuplicatesView.swift', 'ApplicationsView.swift', 'LeftoversView.swift', 'PrivacyCleanerView.swift']",none dedicated; verified by direct code read (default parameter value).,read Sources/SafetyCore/SafetyCore.swift:126,n/a,n/a,n/a,each view constructs its own SafetyCenter and passes its own dryRun state variable — the MUST-default protection depends on every call site's own @State default also being true; not exhaustively checked for all 5 call sites this session.,low if a call site regressed its own default (would only matter for that one feature),medium (not fully re-verified across all 5 UI call sites),grep + confirm each view's dryRun @State initial value is true (session 3),n/a
SAFE-006,SAFE,MUST,DECISIONS.md:17-19 (D4),COMPLIANT_VERIFIED,"['Sources/ScanCore/ScanCore.swift', 'Tests/ScanCoreTests']",['ScanEngine'],[],symlinkedDirectoryNotDescended() — PASSED in this session's Scripts/test.sh run.,bash Scripts/test.sh,n/a,n/a,n/a,none found,none,low,none,n/a
PROTECTION-001,PROTECTION,MUST,KNOWN_LIMITATIONS.md:7-8,COMPLIANT_VERIFIED,"['Sources/MacCareApp/ProtectionView.swift', 'Sources/MalwareEngine/MalwareEngine.swift']","['ClamAVScanner.isAvailable', 'ProtectionView body (guard scanner.isAvailable)']",['ProtectionView.swift'],"no dedicated UI test (no display/XCUITest in this headless env); verified by code read: ProtectionView.swift:27,97 both gate real-scan UI behind scanner.isAvailable, ClamAVScanner.isAvailable is false unless a real clamscan binary is found at a known path (no fake/simulated result path exists in the engine).",grep -n isAvailable Sources/MacCareApp/ProtectionView.swift; read Sources/MalwareEngine/MalwareEngine.swift:28-48,"clamscan not installed in this environment (Scripts/doctor.sh confirms 'clamscan not found'), so isAvailable=false path is the one actually exercised by any run in this environment — but the 'unavailable' card itself has not been visually screenshotted this session (headless).",n/a,NOT CAPTURED this session — needs a human/GUI pass; see MANUAL_ACCEPTANCE_TEST_PLAN.md,"honest-unavailable code path verified structurally, not visually rendered",none — code path is correct,low,visual screenshot/manual QA of the unavailable card,n/a
SEC-001,SEC,MUST,SECURITY_AUDIT_CURRENT.md,COMPLIANT_VERIFIED,['Sources/MalwareEngine/MalwareEngine.swift'],['ClamAVScanner.scan(paths:)'],[],none dedicated; re-verified by direct code read this session (baseline had flagged this as 'not re-verified independently').,"read Sources/MalwareEngine/MalwareEngine.swift:50-58 — process.arguments = [...] + paths.map(\.path), no shell string interpolation anywhere in Sources/",n/a,n/a,n/a,none found,none,low,none,n/a
SEC-002,SEC,MUST,SECURITY_AUDIT_CURRENT.md,COMPLIANT_VERIFIED,['Sources/'],[],[],none dedicated; re-verified by a fresh grep this session (baseline had flagged 'not re-verified independently').,"grep -rn '""sudo\|sudo ' Sources/ — only match is Process() itself in MalwareEngine.swift, no literal 'sudo' string anywhere in Sources/",n/a,n/a,n/a,none found,none,low,none,n/a
SEC-003,SEC,MUST,INSTALL_UNSIGNED.md:72,COMPLIANT_VERIFIED,"['Documentation/INSTALL_UNSIGNED.md', 'Documentation/REQUIREMENTS_DECISION_HISTORY.md']",[],[],Scripts/test-release-manifest.sh 'no dangerous Gatekeeper-bypass commands documented as steps to follow' check.,bash Scripts/test-release-manifest.sh,n/a,n/a,n/a,"this session found a REAL REGRESSION: session 1's own REQUIREMENTS_DECISION_HISTORY.md mentioned 'sudo spctl --master-disable' with its 'Do not...' warning on the line AFTER the dangerous string, which the script's look-behind-only heuristic did not detect as warned — test-release-manifest.sh was FAILING at session start. Fixed this session by reordering the sentence so the warning precedes the command (fix(audit) commit); script now passes ALL CHECKS.","was a false negative in the audit's own regression check, not a real user-facing Gatekeeper-bypass instruction; fixed",low (fixed),done this session,0.7.x (docs fix)
