id,module,status,feature,evidence
shell.launch,App shell,VERIFIED_COMPLETE,"App launch, `AppEnvironment.shared` singleton creates `Store` at `~/Library/Application Support/CoreTend/store.sqlite`, falls back to `:memory:` if init fails","Sources/CoreTendApp/AppEnvironment.swift:1-17"
shell.nav,App shell,VERIFIED_COMPLETE,"`NavigationSplitView` + `List(selection:)` sidebar over a `ModuleID` enum, default selection `.smartCare`","Sources/CoreTendApp/CoreTendApp.swift:235-242"
shell.menubar,App shell,VERIFIED_COMPLETE,"Menu-bar extra: `MenuBarLabel`/`MenuBarView`, live `MetricsSnapshot` + last Smart Care activity, `@AppStorage('menuBarEnabled')` toggle in Settings","Sources/CoreTendApp/CoreTendApp.swift:69-94"
shell.onboarding,App shell,VERIFIED_COMPLETE,"`OnboardingView`, opens Full Disk Access system pane via a static hardcoded `x-apple.systempreferences:` URL","Sources/CoreTendApp/OnboardingView.swift:22-23"
shell.diagnostics,App shell,VERIFIED_COMPLETE,"`DiagnosticReport` — anonymized export, redaction test exists","Sources/CoreTendApp/DiagnosticReport.swift:83-91"
safety.pathvalidator,SafetyCore,VERIFIED_COMPLETE,"`PathValidator` — protected-root blocklist (`/System`,`/bin`,…), home-dir block, allowlist containment, symlink-escape resolution via `resolvingSymlinksInPath()`","Sources/SafetyCore/SafetyCore.swift:33-90"
safety.dryrun,SafetyCore,VERIFIED_COMPLETE,"`SafetyCenter` actor: `dryRun` flag (default true), re-validates every path at execution time, skips anything that changed since approval","Sources/SafetyCore/SafetyCore.swift:120-169"
safety.execute,SafetyCore,VERIFIED_COMPLETE,"`execute()` moves approved ops to Trash (`FileManager.trashItem`) — never `rm`, always recoverable via macOS Trash","Sources/SafetyCore/SafetyCore.swift:154-163"
safety.auditlog,SafetyCore,VERIFIED_COMPLETE,"Every approve/execute call emits a structured SafetyAuditEvent through SafetyAuditSink; Store persists it to SQLite, which is what backs My Activity.","Sources/SafetyCore/SafetyCore.swift:192-198 (emit -> SafetyAuditSink); Sources/Persistence/Store.swift:248-264 (Store: SafetyAuditSink, persists to SQLite). Removed the redundant in-memory auditLog: [String] shadow log (zero consumers app-wide) that this status previously described."
scan.engine,ScanCore,VERIFIED_COMPLETE,"`ScanEngine.run(rules:)` — `AsyncStream<ScanEvent>`, cancellable, symlinks skipped entirely (documented `ponytail:` comment, not followed), excluded-path containment respects path-component boundaries, uncapped totals separate from display cap","Sources/ScanCore/ScanCore.swift:117-198"
scan.duplicates,ScanCore,VERIFIED_COMPLETE,"`DuplicateEngine` — 3-stage: size bucket → 64 KB partial SHA-256 → full SHA-256, hard-link (same device+inode) collapse","Sources/ScanCore/DuplicateEngine.swift:38-131"
scan.similarimages,ScanCore,VERIFIED_COMPLETE,"`SimilarImagesEngine` — Vision `VNGenerateImageFeaturePrintRequest` feature-print distance clustering, greedy O(n·k) (documented ceiling), Photos-library directories explicitly skipped, real pixel-count via `CGImageSource` metadata (no full decode) for 'best resolution' suggestion only, never auto-deletes","Sources/ScanCore/SimilarImagesEngine.swift:1-142"
scan.spacelens,ScanCore,VERIFIED_COMPLETE,"`SpaceLensEngine` — bottom-up directory sizing, 'Other (small items)' bucket below `minChildSize`, real iCloud-placeholder detection via `ubiquitousItemDownloadingStatusKey`, access-denied flagged as lower-bound not silently wrong; `TreemapLayout` for the visualization","Sources/ScanCore/SpaceLensEngine.swift:1-187"
cleanup.usercaches,FileRules,VERIFIED_COMPLETE,"Cleanup rule: user caches — application cache files in ~/Library/Caches, apps rebuild these automatically (low risk, preselected)","Sources/FileRules/UserCleanupRules.swift:7-17"
