ID,priority,description,code,tests,documentation,evidence,status,gap/owner
FR-01,M,"Application native ouvre les huit destinations, restaure une navigation définie et fournit états chargement/vide/erreur/accès limité/annulé. Contrats UI et parcours fonctionnels vérifiés.",Sources/CoreTendApp/CoreTendApp.swift,Tests/AppShellTests/AppShellTests.swift,Documentation/Accessibility.md,,EN_COURS,Engineering
FR-02,M,Scan ne peut invoquer aucune primitive d’écriture fichier. Tests de contrat prouvent absence de mutation sur fixtures et annulation bornée.,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
FR-03,M,"Chaque résultat expose source/règle, mesures connues, limites et état. Valeur absente demeure inconnue; test de copy interdit claims de santé/espace récupéré.",Sources/Domain/SystemSnapshot.swift,Tests/DomainTests/DomainTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
FR-04,M,Exclusions persistantes modifient réellement périmètre; chemins utilisateur ne deviennent jamais cibles implicites. Tests relance et limites de chemin.,Sources/Persistence/SQLiteStore.swift; Sources/CoreTendApp/SettingsView.swift; Sources/CoreTendApp/ExploreScanView.swift; Sources/CoreTendApp/DuplicateScanView.swift; Sources/CoreTendApp/CleanupView.swift,Tests/PersistenceTests/PersistenceTests.swift; Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
FR-05,M,Chaque déplacement vers Trash provient d’une sélection revue et confirmation explicite; autorisation typée et validation répétée à exécution. Le seul adapter production appelle API Trash macOS.,Sources/SafetyCore/SafetyCore.swift; Sources/Domain/FileActionService.swift; Sources/CoreTendApp/CleanupView.swift; Sources/CoreTendApp/DuplicateScanView.swift; Sources/CoreTendApp/ApplicationsView.swift,Tests/SafetyCoreTests/SafetyCoreTests.swift; Tests/DomainTests/DomainTests.swift,Documentation/ThreatModel.md,,PARTIEL,Engineering
FR-06,M,"Événements de proposition, refus, annulation, succès et échec restent distincts, consultables, durables selon contrat; échec de Trash laisse original intact et journalise erreur.",Sources/Persistence/SQLiteStore.swift; Sources/Domain/FileActionService.swift; Sources/CoreTendApp/RecordView.swift,Tests/PersistenceTests/PersistenceTests.swift; Tests/DomainTests/DomainTests.swift,Documentation/Progress.md,,PARTIEL,Engineering
FR-07,M,Duplicates identifie copies exactes et propose paires visuellement proches comme candidates consultatives; un survivant minimum reste invariant pour copies exactes.,Sources/ScanCore/DuplicateEngine.swift; Sources/ScanCore/SimilarImageEngine.swift; Sources/CoreTendApp/DuplicateScanView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
FR-08,M,"Treemap/liste reflètent les octets observés et agrègent selon règle explicite; fichier inaccessible, sparse, cloud placeholder et hard link n’inventent pas taille locale.",Sources/ScanCore/ScanCore.swift; Sources/ScanCore/TreemapLayout.swift; Sources/CoreTendApp/ExploreScanView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
FR-09,M,Integrity n’affiche que signaux natifs effectivement observés et leurs limites; aucun verdict malware/absence de risque.,Sources/Domain/CodeSignatureInspection.swift; Sources/Domain/QuarantineInspection.swift; Sources/CoreTendApp/IntegrityView.swift,Tests/DomainTests/DomainTests.swift,Documentation/Progress.md,,PARTIEL,Engineering
FR-10,M,Chaque permission est sondée; refus/absence/indisponibilité distingue absence de menace; parcours propose réglage système pertinent sans boucle coercitive.,Sources/CoreTendApp/SettingsView.swift; Sources/ScanCore/ScanCore.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md; Documentation/Progress.md,,PARTIEL,Engineering
FR-11,M,"Données CoreTend restent locales; schéma versionné, transactions et migration idempotente; fixtures synthétiques anciennes préservent contenu lors migration. Aucun test lit vraie base utilisateur.",Sources/Persistence/SQLiteStore.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/DataModel.md,,PARTIEL,Engineering
FR-12,M,"EN/FR couvrent UI, erreurs, site et aides critiques; gate parité de clés/route et revue terminologique.",Sources/AppShell/Destination.swift,Tests/AppShellTests/AppShellTests.swift,Website/en/index.html,,EN_COURS,Engineering
FR-13,M,"CLI si présente est lecture seule; aide, règles, chemins user-scoped et erreurs d’argument stables/documentés. Test d’absence d’API mutation/élévation.",Sources/CLIContract/CLICommand.swift,Tests/CLIContractTests/CLIContractTests.swift,Documentation/CLI.md,,PARTIEL,Engineering
FR-14,M,Installation locale depuis paquet construit permet ouverture et désinstallation documentée; paquet ne cible aucun dossier utilisateur par script d’installation. Vérification en compte HOME temporaire.,Scripts/package_local.sh; Scripts/install_local.sh; Scripts/verify_package.sh,Scripts/test_install_local.sh,Documentation/Install.md,,PARTIEL,Engineering
FR-15,M,"Site statique correspond aux capacités, OS/langues et états réels; aucune URL de release/checksum ne prétend publier artefact inexistant. Build isolé et gate browser/accessibilité.",Scripts/build_site.py; Website/en/features.html; Website/fr/features.html,Scripts/check_site.py,Documentation/Progress.md,,PARTIEL,Engineering
FR-16,S,Presets/filtres catégorie réutilisables rendent chaque critère visible et résultats reproductibles.,Sources/CoreTendApp/ExploreScanView.swift; Sources/ScanCore/ScanCore.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md; Documentation/Progress.md,,PARTIEL,Engineering
FR-17,S,Cask de package manager seulement généré depuis artefact publié avec checksum vérifié; aucun cask fictif dans cette reconstruction non publiée.,,,,,À_CONSTRUIRE,Engineering
FR-18,C,"Locales supplémentaires, sur demande démontrée et relecture humaine complète.",,,,,À_CONSTRUIRE,Engineering
FR-19,W,"Nettoyage planifié/destructif, purge permanente, vidage Trash, scan malware, cloud sync, assistant privilégié, auto-updater installant.",,,,,À_CONSTRUIRE,Engineering
FR-20,M,"Migration héritée des préférences/données reconnues est copie-seulement, allowlist explicite, idempotente, journalisée, reprend sans fichier partiel trompeur; source historique jamais renommée/modifiée/supprimée. Tests uniquement avec fixtures synthétiques et rollback qui supprime seulement les fichiers créés par cette exécution.",Sources/Persistence/LegacyPreferencesImport.swift; Sources/Persistence/SQLiteStore.swift; Sources/CoreTendApp/SettingsView.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/Migration.md,,PARTIEL,Engineering
FR-21,M,"Rapport diagnostic opt-in avec aperçu, redaction vérifiée, export user-chosen; aucun secret, chemin personnel ou contenu de fichier exporté.",Sources/CoreTendApp/SettingsView.swift; Sources/Persistence/SQLiteStore.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/ThreatModel.md,,PARTIEL,Engineering
FR-22,S,"Menu bar optionnelle, échantillonne uniquement quand visible, montre mesures réelles et dernière activité; arrêt d’échantillonnage à fermeture.",,,,,À_CONSTRUIRE,Engineering
FR-23,S,"Quick Look prévisualise seulement les fichiers retenus dans Explore/Duplicates/Similar Images, jamais dossiers ni action d’écriture.",Sources/CoreTendApp/ExploreScanView.swift; Sources/CoreTendApp/DuplicateScanView.swift,,Documentation/UserGuide.md; Documentation/Progress.md,,PARTIEL,Engineering
FR-24,S,Favoris/récents stockent chemins et dernière taille mesurée; état absent/inaccessible visible; palette clavier navigue vers destinations/actions non destructives sans créer un second routeur.,,,,,À_CONSTRUIRE,Engineering
FR-25,M,"La commande d’update indique uniquement qu’une source (App Store/Sparkle) est observée et ouvre sa page déclarée; n’affirme pas qu’une version plus récente existe sans comparaison disponible, ne télécharge/installe rien.",Sources/Domain/ApplicationDiscovery.swift; Sources/CoreTendApp/ApplicationsView.swift,,Documentation/UserGuide.md,,PARTIEL,Engineering
FR-26,M,"Désinstallation app choisit les seules données associées attribuées avec preuve; aperçu, confirmation et SafetyCore Trash. Les données héritées restent exclues par défaut, incluses opt-in et traitées en dernier; échec laisse l’élément et l’audit distincts.",Sources/Domain/ApplicationDiscovery.swift; Sources/Domain/FileActionService.swift; Sources/CoreTendApp/ApplicationsView.swift,Tests/DomainTests/DomainTests.swift,Documentation/UserGuide.md; Documentation/ThreatModel.md,,PARTIEL,Engineering
shell.launch,M,Capability inventory ID,Sources/CoreTendApp/CoreTendApp.swift,Tests/AppShellTests/AppShellTests.swift,README.md,,EN_COURS,Engineering
shell.nav,M,Capability inventory ID,Sources/AppShell/Destination.swift,Tests/AppShellTests/AppShellTests.swift,Documentation/Accessibility.md,,EN_COURS,Engineering
shell.menubar,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
shell.onboarding,M,Capability inventory ID,Sources/CoreTendApp/CoreTendApp.swift,,Documentation/UserGuide.md,,PARTIEL,Engineering
shell.diagnostics,M,Capability inventory ID,Sources/CoreTendApp/SettingsView.swift,,Documentation/ThreatModel.md,,PARTIEL,Engineering
ui.commandpalette,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
safety.pathvalidator,M,Capability inventory ID,Sources/SafetyCore/SafetyCore.swift,Tests/SafetyCoreTests/SafetyCoreTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
safety.executiongate,M,Capability inventory ID,Sources/SafetyCore/SafetyCore.swift,Tests/SafetyCoreTests/SafetyCoreTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
safety.execute,M,Capability inventory ID,Sources/SafetyCore/SafetyCore.swift,Tests/SafetyCoreTests/SafetyCoreTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
safety.auditlog,M,Capability inventory ID,Sources/Domain/FileActionService.swift; Sources/Persistence/SQLiteStore.swift,Tests/DomainTests/DomainTests.swift,Documentation/Progress.md,,PARTIEL,Engineering
spacelens.delete,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
scan.engine,M,Capability inventory ID,Sources/ScanCore/ScanCore.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
scan.duplicates,M,Capability inventory ID,Sources/ScanCore/DuplicateEngine.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
scan.similarimages,M,Empreinte visuelle locale dHash 64 bits; limite fichier/volume; paires candidates consultatives sans action de suppression.,Sources/ScanCore/SimilarImageEngine.swift; Sources/CoreTendApp/DuplicateScanView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
scan.spacelens,M,Capability inventory ID,Sources/Domain/SystemSnapshot.swift,Tests/DomainTests/DomainTests.swift,Documentation/Progress.md,,EN_COURS,Engineering
clutter.largeold,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
clutter.duplicates,M,Capability inventory ID,Sources/ScanCore/DuplicateEngine.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
clutter.similarimages,M,Paires d’images proches exposées dans la destination Doublons après choix explicite d’un dossier.,Sources/CoreTendApp/DuplicateScanView.swift,,Documentation/UserGuide.md,,PARTIEL,Engineering
spacelens.view,M,Capability inventory ID,Sources/ScanCore/TreemapLayout.swift; Sources/CoreTendApp/ExploreScanView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
cloud.detect,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
cleanup.usercaches,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
cleanup.userlogs,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
cleanup.crashreports,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
cleanup.xcodederiveddata,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
cleanup.incompletedownloads,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
cleanup.xcodedevicesupport,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
cleanup.iosbackups,M,Capability inventory ID,Sources/ScanCore/CleanupRuleCatalog.swift; Sources/CoreTendApp/CleanupView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
integrity.provenance,M,Présence du marqueur de quarantaine macOS sur le bundle choisi; absence ou erreur distinctes; provenance réelle non prouvée.,Sources/Domain/QuarantineInspection.swift; Sources/CoreTendApp/IntegrityView.swift,Tests/DomainTests/DomainTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
integrity.codesign,M,Capability inventory ID,Sources/Domain/CodeSignatureInspection.swift; Sources/CoreTendApp/IntegrityView.swift,Tests/DomainTests/DomainTests.swift,Documentation/ThreatModel.md,,PARTIEL,Engineering
integrity.loginitems,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
perf.metrics,M,Mesures locales datées dont charge système sur une minute; historique SQLite borné et points connus sans interpolation; effacement manuel confirmé des relevés.,Sources/Domain/SystemSnapshot.swift; Sources/Persistence/PerformanceSample.swift; Sources/Persistence/SQLiteStore.swift; Sources/CoreTendApp/SystemSnapshotView.swift,Tests/DomainTests/DomainTests.swift; Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/DataModel.md; Documentation/UserGuide.md,,PARTIEL,Engineering
apps.discovery,M,Capability inventory ID,Sources/Domain/ApplicationDiscovery.swift; Sources/CoreTendApp/ApplicationsView.swift,Tests/DomainTests/DomainTests.swift,Documentation/Progress.md,,PARTIEL,Engineering
apps.leftovers,M,Recherche consultative limitée à un dossier choisi; correspondance exacte de l’identifiant bundle; appartenance non confirmée et aucune action disponible.,Sources/CoreTendApp/ApplicationsView.swift; Sources/Domain/ApplicationAssociationMatcher.swift; Sources/ScanCore/ScanCore.swift,Tests/DomainTests/DomainTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
apps.updates,M,Flux SUFeedURL local déclaré et lien HTTPS explicite; aucune version comparée ni source App Store vérifiée.,Sources/Domain/ApplicationDiscovery.swift; Sources/CoreTendApp/ApplicationsView.swift,,Documentation/UserGuide.md,,PARTIEL,Engineering
activity.log,M,Capability inventory ID,Sources/Persistence/SQLiteStore.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/DataModel.md,,EN_COURS,Engineering
activity.grouping,M,Capability inventory ID,Sources/CoreTendApp/RecordView.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
activity.jsonexport,M,Capability inventory ID,Sources/Persistence/SQLiteStore.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
settings.menubar,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
settings.appsignature,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
settings.fulldiskaccess,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
settings.exclusions,M,Capability inventory ID,Sources/CoreTendApp/SettingsView.swift; Sources/Persistence/SQLiteStore.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/UserGuide.md,,PARTIEL,Engineering
settings.clearactivity,M,Capability inventory ID,Sources/CoreTendApp/RecordView.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/UserGuide.md,,EN_COURS,Engineering
settings.exportdiagnostic,M,Capability inventory ID,Sources/CoreTendApp/SettingsView.swift,,Documentation/ThreatModel.md,,PARTIEL,Engineering
l10n.languagepicker,M,Capability inventory ID,Sources/CoreTendApp/CoreTendApp.swift,Tests/AppShellTests/AppShellTests.swift,Documentation/Accessibility.md,,EN_COURS,Engineering
migration.legacydata,M,Capability inventory ID,Sources/Persistence/LegacyPreferencesImport.swift; Sources/CoreTendApp/SettingsView.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/Migration.md,,PARTIEL,Engineering
migration.launchwiring,M,Capability inventory ID,Sources/CoreTendApp/CoreTendApp.swift; Sources/CoreTendApp/SettingsView.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/Migration.md,,PARTIEL,Engineering
settings.migrationnotice,M,Capability inventory ID,Sources/CoreTendApp/SettingsView.swift,,Documentation/Project/Migration.md,,PARTIEL,Engineering
uninstall.legacydata,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
testing.storeisolation,M,Capability inventory ID,Scripts/audit_safety.py,Tests/PersistenceTests/PersistenceTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
quicklook.extended,M,Capability inventory ID,Sources/CoreTendApp/ExploreScanView.swift; Sources/CoreTendApp/DuplicateScanView.swift,,Documentation/UserGuide.md,,PARTIEL,Engineering
favrec.module,M,Capability inventory ID,,,,,À_CONSTRUIRE,Engineering
NFR-01,M,"Sûreté: `ApprovedFileOperation`/contrat équivalent est seule entrée d’opération; aucun appel suppression permanente. Validation portée, volume/racine et symlink à approbation et exécution. Refus fermé par défaut.",Sources/SafetyCore/SafetyCore.swift,Tests/SafetyCoreTests/SafetyCoreTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
NFR-02,M,"Réversibilité: API Trash seulement. Échec de Trash n’entraîne pas fallback de suppression, copie destructive ou succès. Succès signifie déplacé à Trash, jamais espace récupéré.",Sources/SafetyCore/SafetyCore.swift,Tests/SafetyCoreTests/SafetyCoreTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
NFR-03,M,"Isolation tests: Toute mutation de test vise un sandbox temporaire dédié; adapter Trash fake utilise sa Corbeille fixture. Gate statique/runtime prouve tests ne ciblent pas `$HOME`, vrai Trash ou chemins personnels.",Scripts/audit_safety.py,Tests/SafetyCoreTests/SafetyCoreTests.swift,Documentation/ThreatModel.md,,EN_COURS,Engineering
NFR-04,M,"Confidentialité: Pas télémétrie/compte/analytics/cloud. Réseau uniquement vérification de mise à jour initiée par user, si cette fonction reste incluse; aucun téléchargement. Chemins privés absents des logs partageables.",Scripts/audit_safety.py; Sources/CoreTendApp/ApplicationsView.swift,,Documentation/ThreatModel.md; Documentation/UserGuide.md,,PARTIEL,Engineering
NFR-05,M,"Données: SQLite/local native ou stockage retenu documenté, données minimales, expiration/effacement défini, transaction/migration avec backup fixture et chemin d’échec. Export diagnostic opt-in, aperçu, redaction.",Sources/Persistence/SQLiteStore.swift; Sources/Persistence/LegacyPreferencesImport.swift; Sources/CoreTendApp/SettingsView.swift; Sources/CoreTendApp/SystemSnapshotView.swift,Tests/PersistenceTests/PersistenceTests.swift,Documentation/Project/DataModel.md; Documentation/UserGuide.md,,PARTIEL,Engineering
NFR-06,M,"Robustesse: Erreurs typées par élément, tâches annulables, progression causale, pas de race reportée comme succès, aucun blocage UI pour scan/hash.",Sources/ScanCore/ScanCore.swift; Sources/CoreTendApp/ExploreScanView.swift; Sources/CoreTendApp/CleanupView.swift; Sources/CoreTendApp/DuplicateScanView.swift,Tests/ScanCoreTests/ScanCoreTests.swift,Documentation/UserGuide.md; Documentation/Progress.md,,PARTIEL,Engineering
NFR-07,M,"Accessibilité: Clavier, focus, VoiceOver, Dynamic Type/zoom, contraste, Reduce Motion/Transparency, états distingués autrement que par couleur. Automatisation + observation humaine à qualification.",Sources/CoreTendApp/ExploreScanView.swift; Sources/CoreTendApp/DuplicateScanView.swift,,,Documentation/Accessibility.md; Documentation/Progress.md,,PARTIEL,Engineering
NFR-08,M,Compatibilité: Cible initiale arm64 et macOS 14+; revendication limitée aux OS/architectures effectivement testés. Seconde version macOS/hôte requis pour déclarer matrice complète.,,,,,À_CONSTRUIRE,Engineering
NFR-09,M,"Performance: Baseline représentative pour startup, scan, UI, CPU/RSS; budgets proposés après mesure, jamais choisis au hasard. Aucune animation continue au repos.",Sources/Domain/SystemSnapshot.swift,Tests/DomainTests/DomainTests.swift,Documentation/Progress.md,,EN_COURS,Engineering
NFR-10,M,"Architecture: Swift 6, SwiftUI natif, SwiftPM, zéro dépendance runtime par défaut; UI séparée des moteurs; SafetyCore en frontière centrale; décisions d’ajout de dépendance documentées.",Package.swift,Tests/ProductContractTests/ProductContractTests.swift,Documentation/Project/Cahier-des-charges.md,,EN_COURS,Engineering
NFR-11,M,"Site: Génération statique, EN/FR, sécurité CSP, navigation clavier, 200 % zoom, reduced motion, sans tracker; contenu utile sans JS si applicable aux pages critiques.",Website/,Scripts/check_site.py,Website/_headers,,EN_COURS,Engineering
NFR-12,M,"Documentation: Exigences tracées jusqu’au code/test/critère; faits mesurés séparés d’hypothèses, dates/sources/owners; les documents générés ont générateur et gate.",Documentation/Traceability.csv,Scripts/check_traceability.py,Documentation/Project/Cahier-des-charges.md,,EN_COURS,Engineering
NFR-13,M,Build: Reproductible depuis source et dépendances déclarées; build de release locale à zéro warning accepté; dépendances verrouillées; aucun secret requis pour tests.,Makefile,swift test,README.md,,EN_COURS,Engineering
NFR-14,M,Release: Aucun statut signé/notarisé/publié annoncé sans octets candidats et preuve. La création d’un paquet local n’autorise aucun push/tag/publication.,Documentation/ReleaseEvidence.md,Scripts/audit_safety.py,Documentation/ReleaseEvidence.md,,EN_COURS,Engineering
